Name,BRAND,COLOUR,STORAGE,Camera Specification(back),selfie camera specification ,battery,processor,COSTUMER REVIEW,Price,warranty,serialno,
,Mi,,,,,,,,5000,,1a,
,Samsung,,,,,,,,7000,,2b,
,Realme,,,,,,,,8000,,3c,
,,,,,,,,,55000,,4d,
,,,,,,,,,34000,,5e,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
